NHOGAR;HY050N;HY110N;HS040;HS060;HS080;HS090;HS120;HH021;HX040;vhRentaa;vhPobreza;DB040;edad mayor;horas trabajo semanal hogar;MAYORES 16;SEXO mayor;ACT mayor
9;0;0;2;2;1;1;2;3;3;12672;1;ES21;33;4;1;0;2
66;0;0;2;2;1;1;2;2;3;19853,4;0;ES42;50;40;2;0;1
97;0;0;1;1;1;1;4;1;3;54832,5;0;ES52;51;45;1;1;1
138;0;0;1;1;1;1;5;5;2;32372,8;0;ES52;52;40;1;0;1
183;0;0;2;2;1;1;2;3;2;10892,9;1;ES61;39;0;2;0;1
208;0;0;1;1;1;1;5;1;2;50558,8;0;ES41;50;40;1;0;3
264;0;0;2;2;1;1;3;1;3;6431,7;1;ES43;46;0;2;0;5
294;0;0;2;2;1;3;2;1;2;8297,7;1;ES43;47;0;2;0;5
307;0;0;2;2;1;1;1;3;4;11250,91;1;ES53;37;59;1;0;1
326;0;0;1;2;1;1;3;2;3;36648,6;0;ES53;49;40;2;0;1
346;0;0;2;2;1;1;1;2;2;12990,1;0;ES53;52;0;2;0;4
368;0;0;2;2;1;2;1;2;3;21548,4;0;ES53;53;40;3;0;1
396;0;0;1;1;1;1;3;2;3;34121,6;0;ES53;45;30;1;0;1
417;0;0;2;2;1;1;2;3;2;20411,7;0;ES51;28;40;1;0;1
424;0;0;1;1;1;1;4;3;3;28759,7;0;ES51;48;40;2;0;1
437;0;0;1;1;1;1;3;3;2;50278,8;0;ES51;41;40;1;0;1
501;0;0;1;1;1;1;3;2;2;22971,2;0;ES51;44;40;1;0;1
503;0;0;1;2;1;1;3;2;2;21214,2;0;ES51;47;50;1;0;1
509;0;0;2;2;1;1;3;4;2;14296,9;0;ES51;30;40;1;0;1
525;0;0;2;2;1;1;2;2;3;11824,41;1;ES51;44;40;1;1;1
541;0;0;1;1;1;1;3;1;2;34234;0;ES51;44;50;2;0;3
550;0;0;1;1;1;1;5;2;2;105674,6;0;ES51;52;60;2;1;3
587;0;0;2;2;1;1;2;2;3;15095,1;0;ES51;53;0;2;1;5
698;0;0;2;1;1;2;2;2;2;18651,2;0;ES61;51;60;2;1;3
713;0;0;2;2;1;2;1;4;2;3315;1;ES61;41;12;1;0;2
752;0;0;1;1;1;1;4;2;3;21958;0;ES52;47;40;1;0;1
842;0;0;2;2;1;1;1;4;2;12857;0;ES61;52;0;2;0;11
877;0;0;2;2;1;1;2;1;4;11384,6;1;ES11;49;0;2;0;10
882;0;0;1;1;1;1;4;2;2;41652,7;0;ES11;50;40;1;0;1
947;0;0;2;2;1;1;3;2;3;17766,5;0;ES51;55;40;3;1;3
972;0;0;2;2;1;1;3;3;2;4513,3;1;ES51;42;20;1;1;2
973;0;0;2;2;1;1;1;5;2;6516;1;ES51;57;0;1;0;10
1002;0;0;2;2;1;1;3;5;2;2394,3;1;ES61;28;0;1;0;5
1003;0;0;2;2;1;2;2;2;2;3837,8;1;ES61;46;45;2;0;1
1022;0;0;1;1;1;1;5;2;2;18818,9;0;ES42;40;40;1;0;1
1055;0;0;2;2;1;3;3;1;2;6963;1;ES21;43;0;1;0;3
1125;0;0;1;1;1;1;3;2;2;31548,2;0;ES61;59;35;1;0;1
1132;0;0;2;2;1;1;1;1;3;34950,6;0;ES61;59;35;3;1;1
1144;0;0;2;2;2;2;1;3;2;10999,84;1;ES41;55;0;1;0;5
1203;0;90;1;1;1;1;3;3;2;13154,2;0;ES23;37;37;1;0;1
1337;0;0;1;2;1;1;2;3;2;16444,8;0;ES30;36;40;1;0;1
1420;0;0;2;2;1;1;1;2;2;279,86;1;ES30;45;0;1;0;5
1438;0;0;1;1;1;1;5;2;2;72205,3;0;ES30;52;45;2;1;1
1453;0;0;1;1;1;1;3;1;2;49888,4;0;ES30;65;0;2;0;7
1486;0;0;2;2;1;1;3;1;4;11241,88;1;ES30;54;25;2;0;2
1522;0;0;2;2;1;2;1;3;4;4200;1;ES30;44;0;1;0;5
1538;0;0;1;1;1;1;4;2;2;47124,1;0;ES30;54;35;2;0;1
1551;0;0;2;2;1;2;3;4;2;5117,7;1;ES30;61;0;2;0;5
1553;0;0;2;2;1;1;3;1;2;7706,82;1;ES30;51;0;1;0;5
1571;0;0;1;1;1;1;3;1;3;42107,6;0;ES30;49;44;2;0;1
1585;0;4800;1;2;1;1;2;2;2;19731,5;0;ES30;46;0;1;0;11
1612;0;0;2;2;1;1;2;2;2;19136;0;ES30;47;30;2;0;2
1623;0;0;1;1;1;1;5;2;2;20880,9;0;ES30;58;40;2;0;1
1630;0;0;1;1;1;1;3;2;3;16786,7;0;ES30;45;40;1;0;1
1649;0;0;2;2;1;1;2;1;2;13152;0;ES61;51;0;2;0;10
1687;0;0;2;2;1;1;2;2;3;27203,1;0;ES61;43;37;1;0;1
1697;0;0;2;1;1;1;5;1;3;16994,4;0;ES61;40;40;1;0;3
